player,gameweek,away_team,home_team,results_home_goals,results_away_goals,predictions_home_goals,predictions_away_goals
paul merson,23,southampton,watford,2,2,1,1
paul merson,23,brighton,west brom,2,0,2,0
paul merson,24,crystal palace,arsenal,4,1,1,2
paul merson,24,chelsea,brighton,0,4,0,1
paul merson,24,man utd,burnley,0,1,0,2
paul merson,24,west brom,everton,1,1,1,0
paul merson,24,watford,leicester,2,0,2,0
paul merson,24,newcastle,man city,3,1,3,0
paul merson,24,tottenham,southampton,1,1,0,3
paul merson,24,huddersfield,stoke,2,0,1,0
paul merson,24,liverpool,swansea,1,0,0,2
paul merson,24,bournemouth,west ham,1,1,2,1
paul merson,25,liverpool,huddersfield,0,3,0,3
paul merson,25,arsenal,swansea,3,1,0,2
paul merson,25,crystal palace,west ham,1,1,1,2
paul merson,25,bournemouth,chelsea,0,3,3,1
paul merson,25,leicester,everton,2,1,1,2
paul merson,25,west brom,man city,3,0,3,0
paul merson,25,burnley,newcastle,1,1,0,1
paul merson,25,brighton,southampton,1,1,2,0
paul merson,25,watford,stoke,0,0,2,0
paul merson,25,man utd,tottenham,2,0,2,1
paul merson,26,stoke,bournemouth,2,1,2,1
paul merson,26,everton,arsenal,5,1,3,0
paul merson,26,west ham,brighton,3,1,2,0
paul merson,26,man city,burnley,1,1,0,3
paul merson,26,newcastle,crystal palace,1,1,2,2
paul merson,26,swansea,leicester,1,1,3,0
paul merson,26,tottenham,liverpool,2,2,1,3
paul merson,26,huddersfield,man utd,2,0,2,0
paul merson,26,chelsea,watford,4,1,2,0
paul merson,26,southampton,west brom,2,3,3,0
paul merson,27,west brom,chelsea,3,0,3,0
paul merson,27,crystal palace,everton,3,1,2,0
paul merson,27,bournemouth,huddersfield,4,1,1,3
paul merson,27,leicester,man city,5,1,3,0
paul merson,27,man utd,newcastle,1,0,0,2
paul merson,27,liverpool,southampton,0,2,1,2
paul merson,27,brighton,stoke,1,1,2,1
paul merson,27,burnley,swansea,1,0,2,0
paul merson,27,arsenal,tottenham,1,0,2,2
paul merson,27,watford,west ham,2,0,2,0
paul merson,28,newcastle,bournemouth,2,2,2,1
paul merson,28,man city,arsenal,0,3,1,3
paul merson,28,swansea,brighton,4,1,2,0
paul merson,28,southampton,burnley,1,1,1,1
paul merson,28,tottenham,crystal palace,0,1,1,3
paul merson,28,stoke,leicester,1,1,2,0
paul merson,28,west ham,liverpool,4,1,3,0
paul merson,28,chelsea,man utd,2,1,1,1
paul merson,28,everton,watford,1,0,1,1
paul merson,28,huddersfield,west brom,1,2,3,1
paul merson,29,arsenal,brighton,2,1,2,1
paul merson,29,everton,burnley,2,1,1,1
paul merson,29,man utd,crystal palace,2,3,0,1
paul merson,29,bournemouth,leicester,1,1,2,0
paul merson,29,newcastle,liverpool,2,0,2,0
paul merson,29,chelsea,man city,1,0,3,1
paul merson,29,stoke,southampton,0,0,1,0
paul merson,29,west ham,swansea,4,1,1,0
paul merson,29,huddersfield,tottenham,2,0,4,0
paul merson,29,west brom,watford,1,0,2,0
paul merson,30,tottenham,bournemouth,1,4,1,2
paul merson,30,watford,arsenal,3,0,2,0
paul merson,30,crystal palace,chelsea,2,1,2,0
paul merson,30,brighton,everton,2,0,1,0
paul merson,30,swansea,huddersfield,0,0,1,2
paul merson,30,liverpool,man utd,2,1,1,1
paul merson,30,southampton,newcastle,3,0,2,0
paul merson,30,man city,stoke,0,2,0,4
paul merson,30,leicester,west brom,1,4,2,1
paul merson,30,burnley,west ham,0,3,2,0
paul merson,31,west brom,bournemouth,2,1,2,0
paul merson,31,chelsea,burnley,1,2,2,1
paul merson,31,crystal palace,huddersfield,0,2,1,2
paul merson,31,watford,liverpool,5,0,3,0
paul merson,31,everton,stoke,1,2,2,0
paul merson,32,stoke,arsenal,3,0,3,0
paul merson,32,leicester,brighton,0,2,1,1
paul merson,32,tottenham,chelsea,1,3,2,1
paul merson,32,liverpool,crystal palace,1,2,1,3
paul merson,32,man city,everton,1,3,0,2
paul merson,32,swansea,man utd,2,0,2,0
paul merson,32,huddersfield,newcastle,1,0,2,0
paul merson,32,southampton,west ham,3,0,1,2
paul merson,32,bournemouth,watford,2,2,2,1
paul merson,32,burnley,west brom,1,2,0,1
paul merson,33,crystal palace,bournemouth,2,2,1,2
paul merson,33,southampton,arsenal,3,2,2,0
paul merson,33,huddersfield,brighton,1,1,2,0
paul merson,33,west ham,chelsea,1,1,2,0
paul merson,33,liverpool,everton,0,0,1,0
paul merson,33,newcastle,leicester,1,2,2,0
paul merson,33,man utd,man city,2,3,1,0
